"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"November","2020","FO & LSHS","483.00","2024-01-03"
"October","2020","FO & LSHS","480.00","2024-01-03"
"September","2020","FO & LSHS","452.00","2024-01-03"
"August","2020","FO & LSHS","458.00","2024-01-03"
"July","2020","FO & LSHS","469.00","2024-01-03"
"June","2020","FO & LSHS","466.00","2024-01-03"
"May","2020","FO & LSHS","469.00","2024-01-03"
"April","2020","FO & LSHS","283.00","2024-01-03"
"August","2023","HSD","6670.06","2024-01-03"
"July","2023","HSD","6885.46","2024-01-03"
"June","2023","HSD","7905.78","2024-01-03"
"May","2023","HSD","8217.12","2024-01-03"
"April","2023","HSD","7818.33","2024-01-03"
"March","2023","HSD","7794.21","2024-01-03"
"February","2023","HSD","7002.79","2024-01-03"
"January","2023","HSD","7178.07","2024-01-03"
"December","2022","HSD","7787.43","2024-01-03"
"November","2022","HSD","7762.96","2024-01-03"
"October","2022","HSD","6986.03","2024-01-03"
"September","2022","HSD","6252.52","2024-01-03"
"August","2022","HSD","6342.57","2024-01-03"
"July","2022","HSD","6633.36","2024-01-03"
"June","2022","HSD","7673.90","2024-01-03"
"May","2022","HSD","7287.41","2024-01-03"
"April","2022","HSD","7199.20","2024-01-03"
"March","2022","HSD","7704.44","2024-01-03"
"February","2022","HSD","6510.92","2024-01-03"
"January","2022","HSD","6365.63","2024-01-03"
"December","2021","HSD","7302.33","2024-01-03"
"November","2021","HSD","6505.85","2024-01-03"
"October","2021","HSD","6616.31","2024-01-03"
"September","2021","HSD","5512.96","2024-01-03"
"August","2021","HSD","5602.95","2024-01-03"
"July","2021","HSD","6134.22","2024-01-03"
"June","2021","HSD","6195.27","2024-01-03"
"May","2021","HSD","5532.19","2024-01-03"
"April","2021","HSD","6675.63","2024-01-03"
"March","2021","HSD","7225.00","2024-01-03"
"February","2021","HSD","6569.00","2024-01-03"
"January","2021","HSD","6806.00","2024-01-03"
"December","2020","HSD","7192.00","2024-01-03"
"November","2020","HSD","7039.00","2024-01-03"
"October","2020","HSD","7001.00","2024-01-03"
"September","2020","HSD","5487.00","2024-01-03"
